Dataset name,Dataset %,Training sample size,Random seed,Number of features,Classifier,MCC,Training time,TR-CPU%,Testing time,TE-CPU%
IoTID20,50.0,209637,233,24,DT,0.17959345899944004,1.3580592360231094,24.845377604167513,0.015096622984856367,24.845377604166593
IoTID20,50.0,209637,233,24,AdaBoost,-0.047963233100773446,7.2099324380396865,24.733377312671966,0.8674249629839323,24.666341145836665
IoTID20,50.0,209637,233,24,LogReg,-0.04496645562984435,4.223679971997626,24.87137190803017,0.005751635995693505,25.071207682291668
IoTID20,50.0,209637,233,24,Ridge,0.15670825141921363,0.10301814798731357,25.071207682291664,0.005713584017939866,25.071207682291664
IoTID20,50.0,209637,233,32,RF,0.8991826631275069,18.33095705602318,24.906096976047245,1.2391075260238722,24.73347981771096
IoTID20,50.0,209637,233,32,DT,0.7678614091767434,1.8226727290311828,24.733479817700136,0.018638789013493806,24.73347981770836
IoTID20,50.0,209637,233,32,AdaBoost,0.8855607436487214,11.340333983011078,24.606634722549586,0.946941556991078,24.489339192712595
IoTID20,50.0,209637,233,32,LogReg,-0.0641472837627727,4.7308584520360455,24.585493527892826,0.0066014130134135485,24.896240234375
IoTID20,50.0,209637,233,32,Ridge,0.14728335030438636,0.09485208400292322,24.896240234375,0.006647788977716118,24.896240234375
IoTID20,50.0,209637,233,41,RF,0.8389467487389222,20.408254402980674,24.708799482012612,1.3019408860127442,24.49544270833468
IoTID20,50.0,209637,233,41,DT,0.20753797793167797,2.1493041740031913,24.47199638201361,0.02136776497354731,24.38557942708333
IoTID20,50.0,209637,233,41,AdaBoost,0.7010323569258408,14.556463164975867,24.286402794196537,1.0334466439671814,24.102783203125
IoTID20,50.0,209637,233,41,LogReg,-0.060394331525641415,5.304997892992105,24.232029733789403,0.007884572958573699,24.578857421875
IoTID20,50.0,209637,233,41,Ridge,0.2777388513371777,0.17531349800992757,24.578857421875,0.008010419027414173,24.578857421875
IoTID20,50.0,209637,233,49,RF,0.8978515955590092,29.013473038037773,24.289572886039103,1.3621326939901337,23.968505859375
IoTID20,50.0,209637,233,49,DT,0.30706309915860786,3.32140271703247,23.945452870418876,0.02425401605432853,23.860677083333282
IoTID20,50.0,209637,233,49,AdaBoost,0.6357914262818563,16.797360467957333,23.744915966925472,1.225324205996003,23.588053385412092
IoTID20,50.0,209637,233,49,LogReg,0.09585221491809875,12.229037621989846,24.213965837546763,0.010474507987964898,24.837239583333332
IoTID20,50.0,209637,233,49,Ridge,-0.03667071591273114,0.22448645299300551,24.837239583334064,0.016129653027746826,24.8372395833334
IoTID20,50.0,209637,233,57,RF,0.9997578777121933,18.66023178299656,24.64908541304494,1.0656154140015133,24.393717447911246
IoTID20,50.0,209637,233,57,DT,0.6074675889333033,1.6105447090230882,24.393717447921382,0.018922780000139028,24.39371744791661
IoTID20,50.0,209637,233,57,AdaBoost,1.0,20.28967443300644,24.192615209081666,1.2704364780220203,24.025472005211004
IoTID20,50.0,209637,233,57,LogReg,-0.03985592204572675,16.36178054701304,24.938327021285495,0.011855653021484613,25.783284505208332
IoTID20,50.0,209637,233,57,Ridge,0.09088736371059837,0.2471197380218655,25.783284505209075,0.012045038980431855,25.783284505208297
IoTID20,50.0,209637,233,65,RF,0.5037284010301146,22.881789743027184,25.558754934320106,1.0093850510311313,25.292420217988344
IoTID20,50.0,209637,233,65,DT,0.637937929442517,2.118685233988799,25.248209635428392,0.02080245700199157,25.248209635416675
IoTID20,50.0,209637,233,65,AdaBoost,1.0,17.89551428897539,25.08113919160198,1.3739325469941832,24.906412760417492
IoTID20,50.0,209637,233,65,LogReg,-0.0824463646877535,17.017851270036772,25.601505276617015,0.01531335397157818,26.180013020833332
IoTID20,50.0,209637,233,65,Ridge,0.13635401121730106,0.2850121129886247,26.18001302083447,0.027979611011687666,26.180013020833258
IoTID20,50.0,209637,233,73,RF,0.9985869432495145,23.162830131012015,25.871030494949345,1.4560181710403413,25.634765625
IoTID20,50.0,209637,233,73,DT,0.9955325782163288,2.21384905197192,25.560379953799767,0.02159091003704816,25.541178385416696
IoTID20,50.0,209637,233,73,AdaBoost,1.0,18.980335191998165,25.340037538521145,1.4124816150288098,25.0813802083314
IoTID20,50.0,209637,233,73,LogReg,-0.012429930285285934,15.606557908002287,25.72586658342012,0.016178741992916912,26.350911458333336
IoTID20,50.0,209637,233,73,Ridge,-0.13474642849264665,0.28965916502056643,26.350911458334526,0.019492633000481874,26.350911458333286
IoTID20,50.0,209637,233,82,RF,0.9983849596476322,23.08862329402473,26.084372306268435,1.5691287370282225,25.799560546875
IoTID20,50.0,209637,233,82,DT,0.9987899643958261,2.0717539669713005,25.77799540840764,0.023462675977498293,25.681559244791735
IoTID20,50.0,209637,233,82,AdaBoost,1.0,23.524312002991792,25.457198029374833,1.5907976489979774,25.181665578639738
IoTID20,50.0,209637,233,82,LogReg,0.8273880401138882,17.26129471103195,25.642271400706473,0.038127410982269794,26.308186848958215
IoTID20,50.0,209637,233,82,Ridge,0.5044882907528434,0.3872429069597274,26.30818684895772,0.03509569901507348,26.308186848958226
IoTID20,50.0,209637,377,8,RF,-0.0005759628240335859,6.45818962197518,26.207197798341376,1.0082977950223722,26.09049479166114
IoTID20,50.0,209637,377,8,DT,-0.03886895210361602,0.2084576299530454,26.09049479166576,0.010017767956014723,26.090494791666664
IoTID20,50.0,209637,377,8,AdaBoost,-0.006726194911053735,3.4089421840035357,26.090494791652358,0.6781152840121649,25.985641630246214
IoTID20,50.0,209637,377,8,LogReg,-0.018635270598859038,0.4065774349728599,25.97249348958216,0.005521446990314871,25.972493489583332
IoTID20,50.0,209637,377,8,Ridge,-0.021247511290464607,0.04107894195476547,25.972493489583147,0.00299202703172341,25.972493489583332
IoTID20,50.0,209637,377,16,RF,0.0,11.184999995981343,25.86607517707442,1.1521140010445379,25.736490885412945
IoTID20,50.0,209637,377,16,DT,-0.04170400506637517,0.559645219007507,25.73649088541879,0.014692885044496506,25.73649088541659
IoTID20,50.0,209637,377,16,AdaBoost,-0.08885652725835118,5.467272903013509,25.634542386577515,0.7882015070063062,25.534207381081846
IoTID20,50.0,209637,377,16,LogReg,0.14531650773757668,1.374345816031564,25.504557291666114,0.0066479010274633765,25.504557291666668
IoTID20,50.0,209637,377,16,Ridge,0.05799550047732167,0.05522959103109315,25.504557291666757,0.0043338959803804755,25.504557291666668
IoTID20,50.0,209637,377,24,RF,0.0,12.68659573601326,25.365499993483624,1.18933681800263,25.15869140625
IoTID20,50.0,209637,377,24,DT,0.0832973129407128,1.011694791028276,25.15869140625,0.013977743044961244,25.15869140625
IoTID20,50.0,209637,377,24,AdaBoost,-0.00865904478626791,7.4671497229719535,25.085261730113224,0.9756432690192014,24.953685289014146
IoTID20,50.0,209637,377,24,LogReg,-0.07188872148623333,5.263456157990731,25.01295472401076,0.00591466500191018,25.335693359375
IoTID20,50.0,209637,377,24,Ridge,0.1381267695104992,0.10633467300795019,25.335693359375,0.006062962987925857,25.335693359375
IoTID20,50.0,209637,377,32,RF,0.5188152907810463,18.275567273027264,25.17582720606743,1.272866032028105,24.964131408043116
IoTID20,50.0,209637,377,32,DT,0.36958201133397944,1.6686255760141648,24.947102864576927,0.018340104026719928,24.947102864583403
IoTID20,50.0,209637,377,32,AdaBoost,0.8350309196366854,11.434956876037177,24.81419017839168,0.9563035769970156,24.696023301913648
IoTID20,50.0,209637,377,32,LogReg,0.08306161579716943,4.595838756009471,24.611409505228348,0.008741121971979737,24.611409505208336
IoTID20,50.0,209637,377,32,Ridge,0.14280729004329043,0.13000921998172998,24.56426456621795,0.00706570700276643,24.501546223958318
IoTID20,50.0,209637,377,41,RF,0.8865550257381627,24.53956227499293,24.29743692408115,1.3039563009515405,23.986809680081222
IoTID20,50.0,209637,377,41,DT,0.6464946642008211,2.451188423030544,23.97867838542437,0.01994951697997749,23.978678385416625
IoTID20,50.0,209637,377,41,AdaBoost,0.38595928509379895,14.974374565004837,23.790114686979173,1.0402201770339161,23.6572265625
IoTID20,50.0,209637,377,41,LogReg,0.015256787934125455,6.8183027430204675,24.150107233139053,0.010440733982250094,24.477132161458336
IoTID20,50.0,209637,377,41,Ridge,0.14349524024225993,0.166629267972894,24.477132161458137,0.008119945996440947,24.477132161458307
IoTID20,50.0,209637,377,49,RF,0.7255240738987295,29.111958185967524,24.193534551707426,1.3676476990222,23.91357421875
IoTID20,50.0,209637,377,49,DT,0.1449079285508801,2.7705933320103213,23.896823008535474,0.022779211984016,23.80574544270831
IoTID20,50.0,209637,377,49,AdaBoost,0.250642921511056,17.919600669003557,23.6573796565567,1.1631198339746334,23.488362630214258
IoTID20,50.0,209637,377,49,LogReg,0.08971053387337019,15.294358400977217,24.304911378751854,0.0104805399896577,24.78230794270832
IoTID20,50.0,209637,377,49,Ridge,0.05873982884940671,0.2183291600085795,25.157542906844117,0.01013445999706164,25.25431315104169
IoTID20,50.0,209637,377,57,RF,0.9830895562003003,18.85259304899955,25.08381390804699,1.1344863660051487,24.863347641438928
IoTID20,50.0,209637,377,57,DT,0.9687052686405913,1.6493458399781957,24.800618489577335,0.017591422016266733,24.800618489583425
IoTID20,50.0,209637,377,57,AdaBoost,1.0,18.031954573001713,24.608573705273987,1.2361515759839676,24.35709635416305
IoTID20,50.0,209637,377,57,LogReg,-0.054800140213106655,13.824942534032743,24.843634945935754,0.013727637997362763,25.616455078125
IoTID20,50.0,209637,377,57,Ridge,0.10173362208434386,0.22711174504365772,25.616455078125,0.01343404600629583,25.616455078125
IoTID20,50.0,209637,377,65,RF,0.42935468692774753,23.240624893980566,25.400594590348962,1.0500863720080815,25.152395971073126
IoTID20,50.0,209637,377,65,DT,0.27911434493597936,1.766956521954853,25.08544921875,0.020633806008845568,25.08544921875
IoTID20,50.0,209637,377,65,AdaBoost,1.0,18.40249033999862,24.888751691686313,1.362544783973135,24.63582356770812
IoTID20,50.0,209637,377,65,LogReg,-0.06318207989834235,16.92118936299812,25.296182553904085,0.01687858602963388,25.889078776041575
IoTID20,50.0,209637,377,65,Ridge,0.024888103439550172,0.29152926296228543,25.889078776040275,0.01941091101616621,25.88907877604159
